fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,4.9,1.009,,,,,,default,,,stream,,,,,,1741837974332,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,9tblWraY3vxTMbMZ4aKf,2025-03-13T03:52:54.332Z
,,4.7,1.009,,,,,,default,,,stream,,,,,,1741834373828,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,BtH0hEKZYW5k5URQ8zF3,2025-03-13T02:52:53.828Z
,,5,1.009,,,,,,default,,,stream,,,,,,1741830771946,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,r9j4HmfrtQaVo6v7obzp,2025-03-13T01:52:51.946Z
,,5.3,1.009,,,,,,default,,,stream,,,,,,1741827172208,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,t9dnWK4jjA5qFPq2OSxR,2025-03-13T00:52:52.208Z
,,6.1,1.009,,,,,,default,,,stream,,,,,,1741823573297,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,PZ9Gy58SzbTUTjUU1sOy,2025-03-12T23:52:53.297Z
,,6.4,1.009,,,,,,default,,,stream,,,,,,1741819973012,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,fOd19aHFVsqaEGzZX4uh,2025-03-12T22:52:53.012Z
,,6.8,1.009,,,,,,default,,,stream,,,,,,1741816371811,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,RjO7cxZJHJKuzhDcyCUx,2025-03-12T21:52:51.811Z
,,7.3,1.009,,,,,,default,,,stream,,,,,,1741812771647,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,CjS3kfBD1Fq5lFR2zrvN,2025-03-12T20:52:51.647Z
,,7.7,1.009,,,,,,default,,,stream,,,,,,1741809171760,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,UeUTWwis7kpp8zpXDXvp,2025-03-12T19:52:51.760Z
,,8.1,1.009,,,,,,default,,,stream,,,,,,1741805572003,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,CAe5bHbJUeVYkaA17oWJ,2025-03-12T18:52:52.003Z
